A.3.1.99.0.31.0.0.24,GEM153 ( 192.168.237.153),3206 Error,12/5/2017 12:53,Unknown error or wrong error pattern.,Tue Dec  5
A.3.2.99.0.32.0.0.20,GEM150 ( 192.168.237.150),3206 Error,12/5/2017 13:06,Unknown error or wrong error pattern.,Tue Dec  5
A.3.2.99.0.32.0.0.20,GEM156(192.168.237.156),3009 Error,12/5/2017 13:15,Unknown error or wrong error pattern.,Tue Dec  5
A.3.2.99.0.32.0.0.20,GEM156 ( 192.168.237.156),3206 Error,12/5/2017 13:17,Unknown error or wrong error pattern.,Tue Dec  5
A.3.2.99.0.32.0.0.20,GEM158 ( 192.168.237.158),3206 Error,12/5/2017 14:06,Unknown error or wrong error pattern.,Tue Dec  5
A.3.2.99.0.32.0.0.20,GEM153 ( 192.168.237.153),3206 Error,12/5/2017 14:12,Unknown error or wrong error pattern.,Tue Dec  5
A.3.2.99.0.32.0.0.20,GEM158 ( 192.168.237.158),3206 Error,12/5/2017 15:59,Unknown error or wrong error pattern.,Tue Dec  5
A.3.2.99.0.32.0.0.20,GEM158 ( 192.168.237.158),3206 Error,12/5/2017 16:37,Unknown error or wrong error pattern.,Tue Dec  5
A.3.2.99.0.32.0.0.20,GEM150 ( 192.168.237.150),3206 Error,12/5/2017 16:52,Unknown error or wrong error pattern.,Tue Dec  5
A.3.2.99.0.32.0.0.20,GEM156 ( 192.168.237.156),3206 Error,12/5/2017 17:17,3206 Error is shown in UI.log at 2017-12-05 13:15:41 caused by 'Socket timed out.  Waited 75000 milliseconds for response while calling on InvokerLocator'. This error is related to CR 17976,Tue Dec  5
A.3.2.99.0.32.0.0.20,GEM153 ( 192.168.237.153),3206 Error,12/5/2017 17:56,Unknown error or wrong error pattern.,Tue Dec  5
A.3.2.99.0.32.0.0.20,GEM158 ( 192.168.237.158),3206 Error,12/5/2017 19:08,Unknown error or wrong error pattern.,Tue Dec  5
A.3.2.99.0.32.0.0.20,GEM155 ( 192.168.237.155),3206 Error,12/5/2017 19:31,Unknown error or wrong error pattern.,Tue Dec  5
A.3.2.99.0.32.0.0.20,GEM156 ( 192.168.237.156),3206 Error,12/5/2017 20:02,3206 Error is shown in UI.log at 2017-12-05 13:15:41 caused by 'Socket timed out.  Waited 75000 milliseconds for response while calling on InvokerLocator'. This error is related to CR 17976,Tue Dec  5
A.3.2.99.0.32.0.0.20,GEM155 ( 192.168.237.155),3206 Error,12/5/2017 20:21,Unknown error or wrong error pattern.,Tue Dec  5
A.3.2.99.0.32.0.0.20,GEM155 ( 192.168.237.155),3206 Error,12/5/2017 20:21,Unknown error or wrong error pattern.,Tue Dec  5
A.3.2.99.0.32.0.0.20,GEM153 ( 192.168.237.153),3206 Error,12/5/2017 21:04,Unknown error or wrong error pattern.,Tue Dec  5
A.3.2.99.0.32.0.0.20,GEM158 ( 192.168.237.158),3206 Error,12/5/2017 21:10,Unknown error or wrong error pattern.,Tue Dec  5
A.3.2.99.0.32.0.0.20,GEM158 ( 192.168.237.158),3206 Error,12/5/2017 21:52,Unknown error or wrong error pattern.,Tue Dec  5
A.3.2.99.0.32.0.0.20,GEM158 ( 192.168.237.158),3206 Error,12/5/2017 22:30,Unknown error or wrong error pattern.,Tue Dec  5
A.3.2.99.0.32.0.0.20,GEM150 ( 192.168.237.150),3206 Error,12/5/2017 23:09,Unknown error or wrong error pattern.,Tue Dec  5
