A.3.2.99.0.32.0.0.6,gem150 (192.168.207.150),Freeze, 2017-09-28 06:00:00-04,See 192.168.207.150_280917_1506592862178.png capture for details.This error is related with CR 17702,Thu Sep 28 05:39
A.3.2.99.0.32.0.0.5,GEM157 (192.168.207.157),Freeze, 2017-09-28 06:00:00-04,See 192.168.207.157_280917_1506592861630.png capture for details.This error is related with CR 17702,Thu Sep 28 05:39
A.3.2.99.0.32.0.0.6,gem150 ( 192.168.207.150),3206 Error,2017-09-28 04:42:02,Unknown error or wrong error pattern.,Thu Sep 28 05:39
A.3.2.99.0.32.0.0.6,gem150 ( 192.168.207.150),3206 Error,2017-09-28 04:42:02,Unknown error or wrong error pattern.,Thu Sep 28 06:02
A.3.2.99.0.32.0.0.5,GEM157 ( 192.168.207.157),3206 Error,2017-09-28 06:42:19,Unknown error or wrong error pattern.,Thu Sep 28 06:02
A.3.2.99.0.32.0.0.6,GEM154 (192.168.207.154),Freeze, 2017-09-28 07:00:00-04,See 192.168.207.154_280917_1506596461518.png capture for details.This error is related with CR 17702,Thu Sep 28 06:37
A.3.2.99.0.32.0.0.6,gem150 (192.168.207.150),Freeze, 2017-09-28 07:00:00-04,See 192.168.207.150_280917_1506596462253.png capture for details.This error is related with CR 17702,Thu Sep 28 06:39
A.3.2.99.0.32.0.0.5,GEM157 (192.168.207.157),Freeze, 2017-09-28 07:00:00-04,See 192.168.207.157_280917_1506596461851.png capture for details.This error is related with CR 17702,Thu Sep 28 06:39
A.3.2.99.0.32.0.0.6,gem150 ( 192.168.207.150),3206 Error,2017-09-28 07:04:43,Unknown error or wrong error pattern.,Thu Sep 28 06:39
A.3.2.99.0.32.0.0.5,GEM157 ( 192.168.207.157),3206 Error,2017-09-28 06:42:19,Unknown error or wrong error pattern.,Thu Sep 28 06:39
A.3.2.99.0.32.0.0.6,gem150 ( 192.168.207.150),3206 Error,2017-09-28 07:04:43,Unknown error or wrong error pattern.,Thu Sep 28 07:02
A.3.2.99.0.32.0.0.5,GEM157 ( 192.168.207.157),3206 Error,2017-09-28 06:42:19,Unknown error or wrong error pattern.,Thu Sep 28 07:02
