A.3.2.99.0.32.0.0.5,gwp383 (192.168.3.83),Freeze, 2017-10-05 00:00:00-04,See 192.168.3.83_051017_1507176061574.png capture for details.This error is related with CR 17702,Wed Oct  4
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-10-05 00:00:00-04,See 192.168.226.102_051017_1507176062324.png capture for details.This error is related with CR 17702,Wed Oct  4
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-10-05 01:00:00-04,See 192.168.226.102_051017_1507179661380.png capture for details.This error is related with CR 17702,Thu Oct  5
A.3.2.99.0.32.0.0.5,gwp383 (192.168.3.83),Freeze, 2017-10-05 01:00:00-04,See 192.168.3.83_051017_1507179661708.png capture for details.This error is related with CR 17702,Thu Oct  5
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-05 01:41:33,Unknown error or wrong error pattern.,Thu Oct  5
A.3.2.99.0.32.0.0.5,gwp383 ( 192.168.3.83),3206 Error,2017-10-05 01:42:38,Unknown error or wrong error pattern.,Thu Oct  5
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-10-05 02:00:00-04,See 192.168.226.102_051017_1507183262328.png capture for details.This error is related with CR 17702,Thu Oct  5
A.3.2.99.0.32.0.0.5,gwp383 (192.168.3.83),Freeze, 2017-10-05 02:00:00-04,See 192.168.3.83_051017_1507183261769.png capture for details.This error is related with CR 17702,Thu Oct  5
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-05 02:04:46,Unknown error or wrong error pattern.,Thu Oct  5
A.3.2.99.0.32.0.0.5,gwp383 ( 192.168.3.83),3206 Error,2017-10-05 01:42:38,Unknown error or wrong error pattern.,Thu Oct  5
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-05 02:04:46,Unknown error or wrong error pattern.,Thu Oct  5
A.3.2.99.0.32.0.0.5,gwp383 ( 192.168.3.83),3206 Error,2017-10-05 01:42:38,Unknown error or wrong error pattern.,Thu Oct  5
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-10-05 03:00:00-04,See 192.168.226.102_051017_1507186861389.png capture for details.This error is related with CR 17702,Thu Oct  5
A.3.2.99.0.32.0.0.5,gwp383 (192.168.3.83),Freeze, 2017-10-05 03:00:00-04,See 192.168.3.83_051017_1507186861579.png capture for details.This error is related with CR 17702,Thu Oct  5
