Version,Hostname (IP),Error Type,Error Date,Comments,Last Reboot
A.3.0.99.3.30.0.0.132,G4K-32 (10.0.101.32),Freeze, 2017-07-21 13:00:00+02,See 10.0.101.32_210717_1500634861758.png capture for details.This error is related with CR 17702,Fri Jul 21 12:01
G5K.1.1.0.45.0.0.177,G5K-47 ( 10.0.101.47),3006 Error,7/20/2017 13:11,Unknown error or wrong error pattern.,Thu Jul 28 13:25
G5K.1.1.0.45.0.0.177,G5K-45 ( 10.0.101.45),3006 Error,7/31/2017 13:15,Unknown error or wrong error pattern.,Thu Jul 20 13:26
G5K.1.1.0.45.0.0.177,G5K-49 ( 10.0.101.49),3206 Error,7/31/2017 13:21,Unknown error or wrong error pattern.,Fri Jul 29 13:20
G5K.1.1.0.45.0.0.177,G5K-44 ( 10.0.101.44),3006 Error,7/20/2017 13:24,Unknown error or wrong error pattern.,Thu Jul 29 13:26
G5K.1.1.0.45.0.0.177,G5K-50 ( 10.0.101.50),3006 Error,7/28/2017 13:25,Unknown error or wrong error pattern.,Thu Jul 20 13:21
A.3.0.99.3.30.0.0.132,G4K-32 (10.0.101.32),Freeze, 2017-07-21 14:00:00+02,See 10.0.101.32_210717_1500638461735.png capture for details.This error is related with CR 17703,Fri Jul 21 13:01
A.3.0.99.3.30.0.0.132,G4K-32 (10.0.101.32),Error Test, 2017-07-21 15:00:00+02,See 10.0.101.32_210717_1500642061142.png capture for details.This error is related with CR 17702,Fri Jul 21 14:01
A.3.0.99.3.30.0.0.132,G4K-32 (10.0.101.32),Freeze, 2017-07-22 16:00:00+02,See 10.0.101.32_210717_1500645661898.png capture for details.This error is related with CR 17702,Fri Jul 21 15:01
A.3.0.99.3.30.0.0.132,G4K-32 (10.0.101.32),Freeze, 2017-07-23 16:00:00+02,See 10.0.101.32_210717_1500645661898.png capture for details.This error is related with CR 17708,Fri Jul 21 15:01
A.3.0.99.3.30.0.0.132,G4K-32 (10.0.101.32),Error Test, 2017-07-23 16:00:00+02,See 10.0.101.32_210717_1500645661898.png capture for details.This error is related with CR 17702,Fri Jul 21 15:01
A.3.0.99.3.30.0.0.132,G4K-32 (10.0.101.32),Error Test, 2017-07-23 16:00:00+02,See 10.0.101.32_210717_1500645661898.png capture for details.This error is related with CR 17702,Fri Jul 21 15:01
A.3.0.99.3.30.0.0.132,G4K-32 (10.0.101.32),Freeze, 2017-07-21 16:00:00+02,See 10.0.101.32_210717_1500645661898.png capture for details.This error is related with CR 17702,Fri Jul 21 15:01
A.3.0.99.3.30.0.0.132,G4K-32 (10.0.101.32),Freeze, 2017-07-21 16:00:00+02,See 10.0.101.32_210717_1500645661898.png capture for details.This error is related with CR 17702,Fri Jul 21 15:01
