Version,Hostname (IP),Error Type,Error Date,Comments,Last Reboot
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-09-29 00:00:00-04,See 192.168.226.102_290917_1506657661407.png capture for details.This error is related with CR 17702,Thu Sep 28 23:39
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-09-29 01:00:00-04,See 192.168.226.102_290917_1506661262243.png capture for details.This error is related with CR 17702,Fri Sep 29 00:39
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-09-29 02:00:00-04,See 192.168.226.102_290917_1506664861311.png capture for details.This error is related with CR 17702,Fri Sep 29 01:39
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-09-29 02:41:52,Unknown error or wrong error pattern.,Fri Sep 29 02:02
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-09-29 03:00:00-04,See 192.168.226.102_290917_1506668461445.png capture for details.This error is related with CR 17702,Fri Sep 29 02:39
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-09-29 02:41:52,Unknown error or wrong error pattern.,Fri Sep 29 02:39
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-09-29 02:41:52,Unknown error or wrong error pattern.,Fri Sep 29 03:02
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-09-29 04:00:00-04,See 192.168.226.102_290917_1506672062362.png capture for details.This error is related with CR 17702,Fri Sep 29 03:39
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-09-29 02:41:52,Unknown error or wrong error pattern.,Fri Sep 29 03:39
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-09-29 02:41:52,Unknown error or wrong error pattern.,Fri Sep 29 04:02
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-09-29 05:00:00-04,See 192.168.226.102_290917_1506675661303.png capture for details.This error is related with CR 17702,Fri Sep 29 04:39
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-09-29 02:41:52,Unknown error or wrong error pattern.,Fri Sep 29 04:39
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-09-29 02:41:52,Unknown error or wrong error pattern.,Fri Sep 29 05:02
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-09-29 06:00:00-04,See 192.168.226.102_290917_1506679261375.png capture for details.This error is related with CR 17702,Fri Sep 29 05:39
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-09-29 02:41:52,Unknown error or wrong error pattern.,Fri Sep 29 05:39
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-09-29 06:42:04,Unknown error or wrong error pattern.,Fri Sep 29 06:01
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-09-29 07:00:00-04,See 192.168.226.102_290917_1506682861488.png capture for details.This error is related with CR 17702,Fri Sep 29 06:39
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-09-29 06:42:04,Unknown error or wrong error pattern.,Fri Sep 29 06:39
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-09-29 06:42:04,Unknown error or wrong error pattern.,Fri Sep 29 07:02
A.3.2.99.0.32.0.0.6,gwp397 ( 192.168.3.97),3206 Error,2017-09-29 11:00:36,Unknown error or wrong error pattern.,Wed Sep 27 18:01
A.3.2.99.0.32.0.0.6,gwp397 ( 192.168.3.97),3206 Error,2017-09-29 11:38:35,Unknown error or wrong error pattern.,Fri Sep 29 10:57
A.3.2.99.0.32.0.0.6,GEM154 (192.168.207.154),Freeze, 2017-09-29 12:00:00-04,See 192.168.207.154_290917_1506700861257.png capture for details.This error is related with CR 17702,Thu Sep 28 07:37
A.3.2.99.0.32.0.0.6,gwp397 (192.168.3.97),Freeze, 2017-09-29 12:00:00-04,See 192.168.3.97_290917_1506700862156.png capture for details.This error is related with CR 17702,Fri Sep 29 11:35
A.3.2.99.0.32.0.0.6,gwp397 ( 192.168.3.97),3206 Error,2017-09-29 11:38:35,Unknown error or wrong error pattern.,Fri Sep 29 11:35
A.3.2.99.0.32.0.0.6,GEM154 (192.168.207.154),Freeze, 2017-09-29 13:00:00-04,See 192.168.207.154_290917_1506704462014.png capture for details.This error is related with CR 17702,Fri Sep 29 12:37
A.3.2.99.0.32.0.0.6,GEM154 (192.168.207.154),Freeze, 2017-09-29 14:00:00-04,See 192.168.207.154_290917_1506708061862.png capture for details.This error is related with CR 17702,Fri Sep 29 13:37
A.3.2.99.0.32.0.0.6,GEM168 ( 192.168.2.168),3206 Error,2017-09-29 14:52:01,Unknown error or wrong error pattern.,Thu Sep 28 12:02
A.3.2.99.0.32.0.0.6,GEM154 (192.168.207.154),Freeze, 2017-09-29 15:00:00-04,See 192.168.207.154_290917_1506711661934.png capture for details.This error is related with CR 17702,Fri Sep 29 14:37
A.3.2.99.0.32.0.0.6,GEM168 ( 192.168.2.168),3206 Error,2017-09-29 16:03:57,Unknown error or wrong error pattern.,Fri Sep 29 14:49
