Version,Hostname (IP),Error Type,Error Date,Comments,Last Reboot
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-10-01 00:00:00-04,See 192.168.226.102_011017_1506830462449.png capture for details.This error is related with CR 17702,Sat Sep 30 23:39
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-10-01 01:00:00-04,See 192.168.226.102_011017_1506834061384.png capture for details.This error is related with CR 17702,Sun Oct  1
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-10-01 02:00:00-04,See 192.168.226.102_011017_1506837661347.png capture for details.This error is related with CR 17702,Sun Oct  1
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-10-01 03:00:00-04,See 192.168.226.102_011017_1506841261381.png capture for details.This error is related with CR 17702,Sun Oct  1
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-10-01 04:00:00-04,See 192.168.226.102_011017_1506844861390.png capture for details.This error is related with CR 17702,Sun Oct  1
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-10-01 05:00:00-04,See 192.168.226.102_011017_1506848461446.png capture for details.This error is related with CR 17702,Sun Oct  1
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-01 05:41:36,Unknown error or wrong error pattern.,Sun Oct  1
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-10-01 06:00:00-04,See 192.168.226.102_011017_1506852061501.png capture for details.This error is related with CR 17702,Sun Oct  1
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-01 05:41:36,Unknown error or wrong error pattern.,Sun Oct  1
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-01 05:41:36,Unknown error or wrong error pattern.,Sun Oct  1
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-10-01 07:00:00-04,See 192.168.226.102_011017_1506855662323.png capture for details.This error is related with CR 17702,Sun Oct  1
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-01 07:04:27,Unknown error or wrong error pattern.,Sun Oct  1
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-01 07:04:27,Unknown error or wrong error pattern.,Sun Oct  1
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-10-01 08:00:00-04,See 192.168.226.102_011017_1506859261436.png capture for details.This error is related with CR 17702,Sun Oct  1
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-01 07:04:27,Unknown error or wrong error pattern.,Sun Oct  1
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-01 07:04:27,Unknown error or wrong error pattern.,Sun Oct  1
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-10-01 09:00:00-04,See 192.168.226.102_011017_1506862861438.png capture for details.This error is related with CR 17702,Sun Oct  1
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-01 07:04:27,Unknown error or wrong error pattern.,Sun Oct  1
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-01 09:41:51,Unknown error or wrong error pattern.,Sun Oct  1
